state_index,x,y
0,0,5
1,1,5
2,2,5
3,3,5
4,4,5
5,5,5
6,0,4
7,2,4
8,3,4
9,4,4
10,5,4
11,0,3
12,1,3
13,2,3
14,3,3
15,4,3
16,5,3
17,0,2
18,1,2
19,2,2
20,3,2
21,4,2
22,5,2
23,0,1
24,1,1
25,2,1
26,3,1
27,4,1
28,5,1
29,0,0
30,1,0
31,2,0
32,3,0
33,4,0
34,5,0
35,7,6
36,8,6
37,10,6
38,11,6
39,6,5
40,7,5
41,8,5
42,9,5
43,10,5
44,11,5
45,6,4
46,7,4
47,8,4
48,9,4
49,10,4
50,11,4
51,7,3
52,8,3
53,10,3
54,11,3
55,6,2
56,7,2
57,8,2
58,9,2
59,10,2
60,11,2
61,6,1
62,7,1
63,8,1
64,9,1
65,10,1
66,11,1
67,7,0
68,8,0
69,9,0
70,10,0
71,11,0