exp_moment,animal_ID,n_prior_sessions,total_reward,rpa,seed
251119-171644,031,0,276.0,0.5054945054945055,42
251119-171644,031,0,235.0,0.43040293040293043,43
251119-171644,031,0,209.0,0.38278388278388276,44
251120-132717,031,1,115.0,0.3885135135135135,42
251120-132717,031,1,139.0,0.46959459459459457,43
251120-132717,031,1,98.0,0.3310810810810811,44
251121-141557,031,2,89.0,0.42995169082125606,42
251121-141557,031,2,96.0,0.463768115942029,43
251121-141557,031,2,78.0,0.37681159420289856,44
251122-140850,031,3,55.0,0.3525641025641026,42
251122-140850,031,3,64.0,0.41025641025641024,43
251122-140850,031,3,55.0,0.3525641025641026,44
251123-125720,031,4,69.0,0.3150684931506849,42
251123-125720,031,4,66.0,0.3013698630136986,43
251123-125720,031,4,83.0,0.3789954337899543,44
251124-164313,031,5,117.0,0.38235294117647056,42
251124-164313,031,5,136.0,0.4444444444444444,43
251124-164313,031,5,93.0,0.30392156862745096,44
251125-162636,031,6,122.0,0.3730886850152905,42
251125-162636,031,6,129.0,0.3944954128440367,43
251125-162636,031,6,126.0,0.3853211009174312,44
251126-135239,031,7,105.0,0.3312302839116719,42
251126-135239,031,7,167.0,0.526813880126183,43
251126-135239,031,7,139.0,0.4384858044164038,44
251127-113857,031,8,75.0,0.5357142857142857,42
251127-113857,031,8,48.0,0.34285714285714286,43
251127-113857,031,8,64.0,0.45714285714285713,44
251128-125956,031,9,128.0,0.47232472324723246,42
251128-125956,031,9,118.0,0.4354243542435424,43
251128-125956,031,9,109.0,0.4022140221402214,44
251129-155326,031,10,183.0,0.4357142857142857,42
251129-155326,031,10,167.0,0.3976190476190476,43
251129-155326,031,10,207.0,0.4928571428571429,44
251130-134624,031,11,125.0,0.46296296296296297,42
251130-134624,031,11,126.0,0.4666666666666667,43
251130-134624,031,11,126.0,0.4666666666666667,44
251130-232218,031,12,157.0,0.6569037656903766,42
251130-232218,031,12,100.0,0.41841004184100417,43
251130-232218,031,12,132.0,0.5523012552301255,44
251220-165800,031,13,395.0,0.5683453237410072,42
251220-165800,031,13,375.0,0.539568345323741,43
251220-165800,031,13,388.0,0.5582733812949641,44
251221-193410,031,14,315.0,0.5954631379962193,42
251221-193410,031,14,322.0,0.6086956521739131,43
251221-193410,031,14,301.0,0.5689981096408318,44
251222-194856,031,15,142.0,0.6698113207547169,42
251222-194856,031,15,124.0,0.5849056603773585,43
251222-194856,031,15,122.0,0.5754716981132075,44
251224-181729,031,16,61.0,0.7625,42
251224-181729,031,16,49.0,0.6125,43
251224-181729,031,16,57.0,0.7125,44
251225-181630,031,17,125.0,0.702247191011236,42
251225-181630,031,17,121.0,0.6797752808988764,43
251225-181630,031,17,124.0,0.6966292134831461,44
251226-181307,031,18,142.0,0.6826923076923077,42
251226-181307,031,18,140.0,0.6730769230769231,43
251226-181307,031,18,141.0,0.6778846153846154,44
251227-174332,031,19,169.0,0.6842105263157895,42
251227-174332,031,19,170.0,0.6882591093117408,43
251227-174332,031,19,168.0,0.680161943319838,44
251228-174043,031,20,142.0,0.7282051282051282,42
251228-174043,031,20,144.0,0.7384615384615385,43
251228-174043,031,20,134.0,0.6871794871794872,44
251229-180544,031,21,238.0,0.7484276729559748,42
251229-180544,031,21,211.0,0.6635220125786163,43
251229-180544,031,21,208.0,0.6540880503144654,44
251230-171810,031,22,135.0,0.7894736842105263,42
251230-171810,031,22,96.0,0.5614035087719298,43
251230-171810,031,22,132.0,0.7719298245614035,44
251231-172527,031,23,98.0,0.8099173553719008,42
251231-172527,031,23,96.0,0.7933884297520661,43
251231-172527,031,23,77.0,0.6363636363636364,44
251104-230415,033,0,39.0,0.4482758620689655,42
251104-230415,033,0,36.0,0.41379310344827586,43
251104-230415,033,0,40.0,0.45977011494252873,44
251105-230500,033,1,79.0,0.45930232558139533,42
251105-230500,033,1,86.0,0.5,43
251105-230500,033,1,86.0,0.5,44
251106-230142,033,2,104.0,0.3649122807017544,42
251106-230142,033,2,149.0,0.5228070175438596,43
251106-230142,033,2,129.0,0.45263157894736844,44
251107-230429,033,3,49.0,0.3356164383561644,42
251107-230429,033,3,68.0,0.4657534246575342,43
251107-230429,033,3,38.0,0.2602739726027397,44
251108-230846,033,4,41.0,0.3203125,42
251108-230846,033,4,60.0,0.46875,43
251108-230846,033,4,55.0,0.4296875,44
251109-230458,033,5,29.0,0.5686274509803921,42
251109-230458,033,5,22.0,0.43137254901960786,43
251109-230458,033,5,27.0,0.5294117647058824,44
251111-225736,033,6,22.0,0.3188405797101449,42
251111-225736,033,6,34.0,0.4927536231884058,43
251111-225736,033,6,27.0,0.391304347826087,44
251112-225928,033,7,39.0,0.43333333333333335,42
251112-225928,033,7,40.0,0.4444444444444444,43
251112-225928,033,7,42.0,0.4666666666666667,44
251113-230441,033,8,27.0,0.40298507462686567,42
251113-230441,033,8,33.0,0.4925373134328358,43
251113-230441,033,8,30.0,0.44776119402985076,44
251115-180903,033,9,42.0,0.4375,42
251115-180903,033,9,49.0,0.5104166666666666,43
251115-180903,033,9,39.0,0.40625,44
251116-180749,033,10,54.0,0.6067415730337079,42
251116-180749,033,10,39.0,0.43820224719101125,43
251116-180749,033,10,56.0,0.6292134831460674,44
260116-175247,033,11,111.0,0.6201117318435754,42
260116-175247,033,11,69.0,0.3854748603351955,43
260116-175247,033,11,79.0,0.441340782122905,44
260117-175942,033,12,94.0,0.6962962962962963,42
260117-175942,033,12,72.0,0.5333333333333333,43
260117-175942,033,12,68.0,0.5037037037037037,44
260119-172108,033,13,129.0,0.6615384615384615,42
260119-172108,033,13,80.0,0.41025641025641024,43
260119-172108,033,13,82.0,0.4205128205128205,44
260121-174047,033,14,109.0,0.6942675159235668,42
260121-174047,033,14,77.0,0.49044585987261147,43
260121-174047,033,14,68.0,0.43312101910828027,44
260123-141609,033,15,42.0,0.42857142857142855,42
260123-141609,033,15,67.0,0.6836734693877551,43
260123-141609,033,15,49.0,0.5,44
260124-225237,033,16,122.0,0.4728682170542636,42
260124-225237,033,16,183.0,0.7093023255813954,43
260124-225237,033,16,168.0,0.6511627906976745,44
260201-212331,033,17,166.0,0.564625850340136,42
260201-212331,033,17,169.0,0.5748299319727891,43
260201-212331,033,17,196.0,0.6666666666666666,44
260202-202543,033,18,149.0,0.6313559322033898,42
260202-202543,033,18,149.0,0.6313559322033898,43
260202-202543,033,18,133.0,0.5635593220338984,44
260203-171228,033,19,152.0,0.596078431372549,42
260203-171228,033,19,144.0,0.5647058823529412,43
260203-171228,033,19,170.0,0.6666666666666666,44
260204-193925,033,20,63.0,0.41721854304635764,42
260204-193925,033,20,108.0,0.7152317880794702,43
260204-193925,033,20,92.0,0.609271523178808,44
260205-191855,033,21,82.0,0.6456692913385826,42
260205-191855,033,21,81.0,0.6377952755905512,43
260205-191855,033,21,84.0,0.6614173228346457,44
260206-144834,033,22,285.0,0.5501930501930502,42
260206-144834,033,22,333.0,0.6428571428571429,43
260206-144834,033,22,353.0,0.6814671814671814,44
260208-145358,033,23,138.0,0.5897435897435898,42
260208-145358,033,23,168.0,0.717948717948718,43
260208-145358,033,23,95.0,0.405982905982906,44
260209-143612,033,24,149.0,0.6681614349775785,42
260209-143612,033,24,126.0,0.5650224215246636,43
260209-143612,033,24,152.0,0.6816143497757847,44
260210-142932,033,25,135.0,0.5720338983050848,42
260210-142932,033,25,170.0,0.7203389830508474,43
260210-142932,033,25,183.0,0.7754237288135594,44
260211-143636,033,26,179.0,0.6325088339222615,42
260211-143636,033,26,195.0,0.6890459363957597,43
260211-143636,033,26,176.0,0.6219081272084805,44
260213-001923,033,27,125.0,0.5,42
260213-001923,033,27,176.0,0.704,43
260213-001923,033,27,193.0,0.772,44
260213-223917,033,28,125.0,0.48638132295719844,42
260213-223917,033,28,151.0,0.5875486381322957,43
260213-223917,033,28,134.0,0.5214007782101168,44
260216-230300,033,29,152.0,0.562962962962963,42
260216-230300,033,29,143.0,0.5296296296296297,43
260216-230300,033,29,181.0,0.6703703703703704,44
260217-193501,033,30,147.0,0.6074380165289256,42
260217-193501,033,30,138.0,0.5702479338842975,43
260217-193501,033,30,147.0,0.6074380165289256,44
260218-180723,033,31,203.0,0.697594501718213,42
260218-180723,033,31,176.0,0.6048109965635738,43
260218-180723,033,31,222.0,0.7628865979381443,44
260219-233757,033,32,135.0,0.7714285714285715,42
260219-233757,033,32,133.0,0.76,43
260219-233757,033,32,129.0,0.7371428571428571,44
260220-185055,033,33,206.0,0.8373983739837398,42
260220-185055,033,33,206.0,0.8373983739837398,43
260220-185055,033,33,205.0,0.8333333333333334,44
260222-190726,033,34,97.0,0.6423841059602649,42
260222-190726,033,34,101.0,0.6688741721854304,43
260222-190726,033,34,112.0,0.7417218543046358,44
260223-191545,033,35,91.0,0.6946564885496184,42
260223-191545,033,35,96.0,0.732824427480916,43
260223-191545,033,35,92.0,0.7022900763358778,44
